Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,IST
35,主治医师,儿童心理科,北京,0,0,"1,365",0,0,0,0,0,,0
85,副主任医师,儿童保健中心,淄博,1,260,"14,709",0,4,0,0,0,,0.000271942
90,副主任医师,儿童保健科,郑州,1,200,"15,074",0,0,2,0,0,,0
125,副主任医师,儿科,上海,1,0,"25,516",1,1,3,0,0,,3.91911E-05
151,主任医师 教授,小儿外科,西安,1,0,"13,963",1,1,13,3,1,,7.16178E-05
153,副主任医师,小儿心脏外科,北京,1,3215,"141,341",3,217,12,8,56,治病救人，医者仁心                        阜外心血管病医院是我国最大的心血管病诊治中心，外科年手术例数超过1万例。作为国家心脏中心，在中国心血管疾病的预防、治疗、科研和教学工作中发挥核心作用。    我院小儿外科中心是国内最大的先心病外科中心，年手术量3000例左右。各种先心病手...术成功率高。    希望在网上平台为更多患儿提供帮助！                                        展开 >>                 收起 <<,0.001535294
218,副主任医师,儿科,湖州,1,0,"7,765",0,0,2,0,0,,0
233,副主任医师,小儿心外科,上海,1,0,"32,404",0,12,16,1,0,,0.000370325
236,副主任医师 副教授,儿科,东营,0,0,"14,809",0,0,4,1,0,,0
237,副主任医师,儿科,忻州,0,0,"15,194",0,2,0,0,0,,0.000131631
275,主任医师 副教授,小儿外科,广州,1,0,"58,921",0,27,12,1,0,,0.000458241
280,副主任医师 副教授,新生儿科,长春,1,0,"10,264",0,1,3,0,1,,9.74279E-05
287,主任医师 副教授,儿科,深圳,0,260,"14,928",3,36,0,0,0,欢迎进入我的个人网站！                        为了孩子，我们一起努力！,0.002411576
294,副主任医师,儿科,天津,1,1170,"190,153",11,102,12,2,0,关注脑瘫患儿，托起明天的太阳！                        脑性瘫痪过去曾被认为是“不治之症”，由于康复医学的发展给脑性瘫痪患儿的治疗带来了希望。但脑性瘫痪的治疗不适一种方法、一朝一夕的短期治疗就能解决的问题，而是一个需要发出人力、物力及长时间的综合治疗过程。不仅需要医生与家长的配合，而且需要全社会...的支持。宣传、普及脑性瘫痪的防治知识显得格外重要。        脑性瘫痪的病因是多方面的，但新生儿窒息、早产与核黄疸在我国许多地区目前仍是脑性瘫痪的主要致病原因。作为一个儿科医生，多年,0.00053641
304,主任医师,中医儿科,青岛,1,400,"118,088",4,15,4,0,0,欢迎词                        内病外治，舒心一贴，回归自然。,0.000127024
345,主治医师,小儿脑瘫康复治疗中心,郑州,0,1330,"41,736",5,139,3,3,0,,0.003330458
359,住院医师,小儿外科,西安,0,0,"2,657",0,1,1,0,0,,0.000376364
383,主任医师,儿科,杭州,1,580,"72,438",0,29,2,0,3,,0.000400342
386,主治医师,小儿泌尿外科,上海,0,380,"15,926",0,20,1,0,0,,0.001255808
411,副主任医师,小儿外科,四平,0,220,"10,999",0,2,0,0,1,,0.000181835
424,副主任医师,儿科,成都,1,260,"14,027",0,4,0,0,0,,0.000285164
447,住院医师,儿科,莱芜,0,0,"3,182",0,0,1,0,0,,0
491,主治医师,儿科,济南,0,5,"3,986",0,1,1,1,0,,0.000250878
559,副主任医师,儿童保健科,长沙,1,200,"7,157",0,0,0,0,0,,0
681,副主任医师,儿科,北京,1,35,"71,072",0,28,11,2,1,,0.000393967
694,主任医师 教授,小儿外科,淄博,1,35,"1,852",0,5,8,0,0,,0.002699784
759,主任医师 教授,小儿血液内科,北京,1,880,"81,098",1,38,7,3,4,我的愿望                        愿所有的患儿得到最好的治疗！,0.000468569
765,副主任医师,新生儿内科,深圳,0,0,"2,372",0,0,1,0,0,,0
808,副主任医师,新生儿科,上海,1,0,"1,225",0,0,0,0,0,,0
811,主治医师,小儿外科,安阳,1,540,"24,617",0,20,1,0,3,,0.000812447
827,副主任医师,儿科,西安,1,620,"81,767",0,43,13,0,1,欢迎词                        +有问题尽量到门诊就诊 看到孩子结合临床及必要的检验才能做出较明确的诊断及准确的治疗 尤其是小儿腹泻原因不同 治疗方法也不同 谢谢理解！,0.000525885
857,主任医师,儿科,泰州,1,0,"27,498",0,3,1,1,0,,0.000109099
861,主治医师,小儿外科,西安,0,210,"11,140",0,2,4,1,0,,0.000179533
910,副主任医师 副教授,儿科,上海,1,370,"56,152",6,18,3,0,0,,0.000320558
937,主治医师,内儿科,廊坊,0,0,788,0,0,0,0,0,,0
948,主治医师,儿科,郑州,1,305,"25,805",1,6,3,1,0,,0.000232513
951,住院医师,小儿外科,重庆,0,0,"2,411",0,4,0,0,0,,0.001659063
960,住院医师,小儿急诊科,佛山,0,65,"15,874",0,11,1,0,0,,0.000692957
983,副主任医师,儿科,广州,1,35,"8,846",0,5,1,0,0,,0.000565227
999,副主任医师,小儿科,济宁,1,630,"72,870",0,52,6,1,3,,0.0007136
1013,主治医师 讲师,小儿外科,武汉,1,455,"27,827",0,66,0,0,0,,0.002371797
1026,副主任医师,新生儿科,沧州,0,0,"1,194",0,0,0,0,0,,0
1037,主任医师 教授,心儿科,广州,1,240,"24,226",0,23,3,0,1,,0.000949393
1049,副主任医师,儿科,宜昌,1,200,"7,250",0,0,1,0,0,,0
1064,副主任医师,小儿外科,沈阳,1,10,"5,413",0,2,3,0,0,,0.000369481
1086,主治医师 讲师,小儿眼科,济南,1,3219,"292,005",0,388,2,0,1,,0.001328744
1106,副主任医师,小儿骨科,成都,0,300,"4,344",0,8,1,0,1,,0.001841621
1110,副主任医师 副教授,儿内科,福州,1,560,"28,970",6,81,1,0,2,欢迎词                        希望能帮助到更多孩子解决生长发育的问题，成就孩子梦想的高度。,0.002795996
1126,主任医师 教授,儿保科,大同,1,275,"20,992",2,13,0,0,0,矮小门诊开诊通知                        我科现已开设矮小门诊，如果您对孩子的身高不满意或在儿童生长发育方面有疑问，可前来咨询。门诊时间为周三周六的上午，为确保您的就诊效率，咨询就诊前须知！,0.000619284
1191,住院医师,小儿骨科,合肥,0,0,"15,805",0,1,1,0,0,,6.32711E-05
1215,住院医师,儿科,深圳,0,0,"3,891",0,0,0,0,0,,0
1280,主治医师,儿童普外科,成都,1,340,"9,175",0,15,2,0,0,,0.001634877
1297,主任医师,小儿科,天津,1,30,"5,202",0,5,2,0,0,欢迎词                        现在春天，春暖花开，是呼吸道过敏性疾病高发季节，许多过敏体质的小孩，会出现鼻痒、鼻塞、经常流涕，还有出现咳嗽或咳喘，最好发病早期带您的宝宝到医院诊治。平日要保持室内空气流通，不要到人群密集的场所。      我们在西医治疗的同时采用中药穴...位贴敷治疗气管炎、支气管炎，哮喘，咳嗽变异性哮喘、过敏性鼻炎，慢性咽炎，反复呼吸道感染等多种呼吸系统疾病。取得了较好的疗效。                                        展开 >,0.000961169
1307,住院医师,儿科,鹤岗,0,200,"6,998",0,0,0,0,0,,0
1332,住院医师,小儿外科,咸阳,0,35,"2,131",0,4,0,0,0,,0.001877053
1380,副主任医师,斜视弱视与小儿眼科,天津,1,4075,"307,426",2,574,16,8,0,,0.001867116
1400,副主任医师 副教授,儿外科,九江,1,5850,"434,859",14,596,5,0,8,,0.001370559
1409,住院医师 助教,儿童口腔科,重庆,1,481,"71,410",9,22,0,0,1,,0.00030808
1424,主任医师,儿科,杭州,1,15,"23,370",0,5,4,1,1,,0.00021395
1445,主任医师 教授,口腔儿童预防科,上海,1,295,"155,793",3,68,47,13,1,"关爱孩子牙齿健康                        ""热心、耐心、爱心、细心”是我的追求，您孩子“健康的牙齿，甜美的微笑”是对我最大的褒奖。",0.000436477
1474,住院医师 讲师,儿科,景德镇,0,0,"27,620",0,3,1,0,0,关注儿童健康，关注祖国未来                        感谢各位同道的支持及病友的关注，祝愿全天下小朋友健健康康，快快乐乐的成长！zouyongzhoulove@163.com,0.000108617
1478,主任医师,新生儿科,临夏,1,200,"15,650",1,0,2,2,1,,0
1484,副主任医师 副教授,儿科,郑州,0,0,"1,141",0,0,0,0,0,,0
1499,住院医师,儿科,郑州,1,0,967,0,0,0,0,0,,0
1500,主任医师,小儿骨科,宁波,1,275,"29,141",0,10,2,0,0,,0.000343159
