Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,IST
35,主治医师,儿童心理科,北京,0,0,982,0,0,0,0,0,,0
85,副主任医师,儿童保健中心,淄博,1,260,"13,845",0,4,0,0,0,,0.000288913
90,副主任医师,儿童保健科,郑州,1,200,"14,714",0,0,2,0,0,,0
125,副主任医师,儿科,上海,1,0,"24,733",1,1,3,0,0,,4.04318E-05
151,主任医师 教授,小儿外科,西安,1,0,"13,026",1,1,13,3,1,,7.67695E-05
153,副主任医师,小儿心脏外科,北京,1,3180,"130,046",3,213,12,8,56,治病救人，医者仁心                        阜外心血管病医院是我国最大的心血管病诊治中心，外科年手术例数超过1万例。作为国家心脏中心，在中国心血管疾病的预防、治疗、科研和教学工作中发挥核心作用。    我院小儿外科中心是国内最大的先心病外科中心，年手术量3000例左右。各种先心病手...术成功率高。    希望在网上平台为更多患儿提供帮助！                                        展开 >>                 收起 <<,0.001637882
218,副主任医师,儿科,湖州,1,0,"7,410",0,0,2,0,0,,0
233,副主任医师,小儿心外科,上海,1,0,"31,243",0,12,16,1,0,,0.000384086
236,副主任医师 副教授,儿科,东营,0,0,"14,417",0,0,3,1,0,,0
237,副主任医师,儿科,忻州,0,0,"14,693",0,2,0,0,0,,0.000136119
275,主任医师 副教授,小儿外科,广州,1,0,"56,168",0,27,12,1,0,,0.000480701
280,副主任医师 副教授,新生儿科,长春,1,0,"9,712",0,1,3,0,1,,0.000102965
287,主任医师 副教授,儿科,深圳,0,260,"8,759",3,36,0,0,0,欢迎进入我的个人网站！                        为了孩子，我们一起努力！,0.004110058
294,副主任医师,儿科,天津,1,1155,"179,127",11,101,12,2,0,关注脑瘫患儿，托起明天的太阳！                        脑性瘫痪过去曾被认为是“不治之症”，由于康复医学的发展给脑性瘫痪患儿的治疗带来了希望。但脑性瘫痪的治疗不适一种方法、一朝一夕的短期治疗就能解决的问题，而是一个需要发出人力、物力及长时间的综合治疗过程。不仅需要医生与家长的配合，而且需要全社会...的支持。宣传、普及脑性瘫痪的防治知识显得格外重要。        脑性瘫痪的病因是多方面的，但新生儿窒息、早产与核黄疸在我国许多地区目前仍是脑性瘫痪的主要致病原因。作为一个儿科医生，多年,0.000563846
304,主任医师,中医儿科,青岛,1,400,"113,415",4,15,4,0,0,欢迎词                        内病外治，舒心一贴，回归自然。,0.000132258
345,主治医师,小儿脑瘫康复治疗中心,郑州,0,660,"33,567",3,73,3,3,0,,0.002174755
359,住院医师,小儿外科,西安,0,0,"2,235",0,1,1,0,0,,0.000447427
383,主任医师,儿科,杭州,1,580,"64,830",0,29,2,0,3,,0.000447324
386,住院医师,小儿泌尿外科,上海,0,290,"14,274",0,7,1,0,0,,0.000490402
411,副主任医师,小儿外科,四平,0,220,"10,253",0,2,0,0,1,,0.000195065
424,副主任医师,儿科,成都,1,260,"13,231",0,4,0,0,0,,0.00030232
447,住院医师,儿科,莱芜,0,0,"2,857",0,0,1,0,0,,0
491,主治医师,儿科,济南,0,5,"3,611",0,1,0,0,0,,0.000276932
559,副主任医师,儿童保健科,长沙,1,200,"6,712",0,0,0,0,0,,0
