Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,IST
35,主治医师,儿童心理科,北京,0,0,781,0,0,0,0,0,,0
77,住院医师 助教,儿科,南京,1,240,"8,750",0,8,5,2,0,,0.000914286
85,副主任医师,儿童保健中心,淄博,1,260,"13,454",0,4,0,0,0,,0.000297309
90,副主任医师,儿童保健科,郑州,1,200,"14,364",0,0,2,0,0,,0
125,副主任医师,儿科,上海,1,0,"24,283",1,1,3,0,0,,4.12E-05
151,主任医师 教授,小儿外科,西安,1,0,"12,687",1,1,13,3,1,,7.88E-05
153,副主任医师,小儿心脏外科,北京,1,3180,"125,151",3,213,10,7,56,治病救人，医者仁心                        阜外心血管病医院是我国最大的心血管病诊治中心，外科年手术例数超过1万例。作为国家心脏中心，在中国心血管疾病的预防、治疗、科研和教学工作中发挥核心作用。    我院小儿外科中心是国内最大的先心病外科中心，年手术量3000例左右。各种先心病手...术成功率高。    希望在网上平台为更多患儿提供帮助！                                        展开 >>                 收起 <<,0.001701944
218,副主任医师,儿科,湖州,1,0,"7,221",0,0,1,0,0,,0
233,副主任医师,小儿心外科,上海,1,0,"30,693",0,12,16,1,0,,0.000390969
236,副主任医师 副教授,儿科,东营,0,0,"14,225",0,0,3,1,0,,0
237,副主任医师,儿科,忻州,0,0,"14,414",0,2,0,0,0,,0.000138754
275,副主任医师 副教授,小儿外科,广州,1,0,"54,751",0,27,12,1,0,,0.000493142
280,副主任医师 副教授,新生儿科,长春,1,0,"9,412",0,0,3,0,1,,0
287,主任医师 副教授,儿科,深圳,0,260,"7,592",3,36,0,0,0,欢迎进入我的个人网站！                        为了孩子，我们一起努力！,0.004741834
294,副主任医师,儿科,天津,1,1155,"174,793",11,101,12,2,0,关注脑瘫患儿，托起明天的太阳！                        脑性瘫痪过去曾被认为是“不治之症”，由于康复医学的发展给脑性瘫痪患儿的治疗带来了希望。但脑性瘫痪的治疗不适一种方法、一朝一夕的短期治疗就能解决的问题，而是一个需要发出人力、物力及长时间的综合治疗过程。不仅需要医生与家长的配合，而且需要全社会...的支持。宣传、普及脑性瘫痪的防治知识显得格外重要。        脑性瘫痪的病因是多方面的，但新生儿窒息、早产与核黄疸在我国许多地区目前仍是脑性瘫痪的主要致病原因。作为一个儿科医生，多年,0.000577826
304,主任医师,中医儿科,青岛,1,400,"111,728",4,15,4,0,0,欢迎词                        内病外治，舒心一贴，回归自然。,0.000134255
345,主治医师,小儿脑瘫康复治疗中心,郑州,0,655,"31,743",3,70,3,3,0,,0.002205211
359,住院医师,小儿外科,西安,0,0,"2,022",0,1,1,0,0,,0.00049456
383,主任医师,儿科,杭州,1,580,"62,981",0,29,2,0,3,,0.000460456
386,住院医师,小儿泌尿外科,上海,0,290,"13,872",0,7,1,0,0,,0.000504614
411,副主任医师,小儿外科,四平,0,220,"9,977",0,2,0,0,1,,0.000200461
424,副主任医师,儿科,成都,1,260,"12,861",0,4,0,0,0,,0.000311018
447,住院医师,儿科,莱芜,0,0,"2,663",0,0,1,0,0,,0
491,主治医师,儿科,济南,0,5,"3,410",0,1,0,0,0,,0.000293255
559,副主任医师,儿童保健科,长沙,1,200,"6,475",0,0,0,0,0,,0
681,副主任医师,儿科,北京,1,0,"65,897",0,21,10,2,1,,0.000318679
694,副主任医师,小儿外科,淄博,1,0,255,0,0,8,0,0,,0
759,主任医师 教授,小儿血液内科,北京,1,880,"73,721",1,38,7,3,4,我的愿望                        愿所有的患儿得到最好的治疗！,0.000515457
765,副主任医师,新生儿内科,深圳,0,0,"1,372",0,0,1,0,0,,0
808,副主任医师,新生儿科,上海,1,0,689,0,0,0,0,0,,0
811,主治医师,小儿外科,安阳,1,540,"22,584",0,20,1,0,3,,0.000885583
